id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
274,8,1980,N,5,6,2,2,1,2,2,2
275,12,1980,2,1,2,2,1,2,1,N,1
276,1,1982,3,3,7,N,2,1,1,1,3
277,2,1984,N,4,2,1,1,N,N,N,N
278,9,1980,1,4,1,1,1,4,1,3,3
279,4,1981,N,1,N,N,N,N,N,N,N
280,5,1983,4,2,2,2,2,2,N,2,2
281,12,1984,4,4,4,3,3,2,2,2,2
282,6,1980,2,N,2,1,2,2,2,2,2
283,5,1984,6,5,5,5,3,3,3,3,2
284,3,1981,1,4,3,2,1,3,1,1,1
285,2,1981,5,4,2,5,3,2,N,N,1
286,9,1984,6,6,4,4,2,3,2,5,6
287,5,1980,2,2,2,2,2,1,1,2,1
288,10,1983,2,3,1,1,1,2,1,1,1
289,10,1984,6,6,1,1,N,1,1,1,1
290,1,1984,2,3,2,1,1,2,1,1,2
291,6,1980,3,1,1,1,1,1,1,1,2
292,9,1984,4,4,3,2,2,5,4,2,6
293,11,1983,7,7,6,6,3,4,3,2,6
294,5,1982,7,7,6,7,7,7,7,7,7
295,9,1984,2,5,2,4,4,3,3,3,2
296,12,1981,1,2,2,1,1,1,3,1,2
297,7,1984,1,2,3,1,1,N,1,N,3
298,6,1983,2,3,4,3,1,1,1,1,2
299,5,1981,N,N,N,1,1,1,1,1,1
300,5,1984,6,6,5,4,3,3,2,2,5
301,12,1981,2,N,N,N,N,3,N,N,1
302,3,1984,N,N,N,N,N,N,N,N,N
303,9,1980,2,2,2,3,N,1,N,N,2
304,2,1983,3,2,2,2,N,2,3,3,3
305,2,1983,6,4,6,6,N,4,4,4,5
306,2,1980,5,6,6,N,N,6,6,N,3
307,5,1980,3,4,3,2,3,2,2,2,2
308,4,1981,8,8,6,N,6,7,6,N,6
309,4,1981,3,6,N,N,N,2,2,N,6
310,6,1982,N,N,N,N,N,N,6,N,6
311,3,1982,6,6,3,3,3,3,3,2,2
312,7,1982,4,4,3,3,2,2,2,3,2
313,4,1981,2,2,3,2,2,3,5,3,3
314,10,1984,2,2,1,1,2,2,1,2,2
315,1,1982,1,2,1,1,1,1,2,1,2
316,4,1982,1,N,N,N,N,N,N,1,1
317,8,1980,1,N,N,2,1,2,1,1,2
318,2,1983,1,1,1,N,N,N,N,N,N
319,3,1983,N,N,N,N,N,N,N,N,N
320,7,1982,2,5,1,3,N,N,N,N,N
321,10,1981,2,2,1,1,2,1,2,2,2
322,6,1982,5,2,2,1,1,2,1,2,1
323,3,1980,1,2,1,1,1,1,1,1,2
324,6,1980,N,4,3,N,N,N,N,N,N
325,9,1984,4,3,1,3,2,1,2,2,2
326,3,1980,6,3,3,4,5,4,4,4,4
327,1,1983,4,5,3,2,3,2,3,3,2
328,3,1984,2,2,2,N,N,N,N,N,N
329,2,1984,4,3,2,1,R,1,1,1,1
330,6,1982,N,N,N,N,N,N,N,N,N
331,4,1980,3,N,N,6,5,3,4,2,3
332,1,1980,2,2,2,2,2,1,1,1,1
333,8,1982,2,2,1,2,2,6,3,2,2
334,1,1984,3,3,3,2,2,5,2,2,2
335,6,1980,6,6,4,N,N,N,6,N,N
336,2,1982,2,2,1,2,2,1,2,3,2
337,7,1983,6,4,3,3,3,2,2,2,2
338,4,1981,3,3,3,3,1,2,4,1,N
339,9,1981,6,6,5,6,6,6,6,6,4
340,12,1981,2,2,1,1,1,1,1,1,1
341,12,1983,1,1,1,1,1,1,1,1,1
342,3,1982,7,7,7,5,3,4,4,2,2
343,3,1984,6,2,1,2,2,7,D,D,D
344,3,1984,N,7,2,6,7,3,N,2,7
345,3,1984,8,1,2,1,1,5,2,2,6
346,5,1984,2,2,4,2,N,N,1,N,1
347,9,1981,1,1,1,2,1,2,1,2,2
348,8,1983,1,2,2,6,6,4,5,5,6
349,1,1984,6,4,2,1,1,5,5,4,D
350,2,1984,3,1,1,1,1,2,2,N,1
351,6,1981,7,6,4,N,N,N,3,N,3
352,6,1981,5,2,N,N,N,N,N,N,N
353,9,1982,3,2,1,6,1,2,1,N,N
354,7,1982,7,4,5,N,N,N,N,2,1
355,12,1980,6,3,6,6,5,2,2,3,2
356,10,1982,1,4,6,8,3,8,1,3,1
357,9,1981,6,6,6,7,6,6,6,6,6
358,2,1983,6,6,6,6,3,5,5,5,4
359,1,1983,6,6,7,7,7,7,7,7,7
360,9,1984,6,5,5,4,3,N,2,N,N
361,8,1980,N,N,N,N,N,N,N,N,N
362,4,1981,5,4,3,6,6,5,5,6,5
363,11,1983,6,6,6,6,2,6,6,4,2
364,7,1984,2,1,2,1,2,2,1,2,N
365,2,1982,5,2,1,1,3,6,1,1,1
366,8,1980,5,2,5,2,5,5,4,4,4
367,6,1981,4,1,1,3,2,3,2,1,1
368,4,1981,2,1,2,2,1,1,2,1,2
369,7,1984,2,2,1,N,N,N,N,N,N
370,6,1981,2,1,2,1,N,N,N,N,N
371,12,1982,6,6,N,N,6,5,N,2,6
372,6,1983,1,1,1,1,1,1,1,1,1
373,8,1984,2,1,1,1,1,3,1,4,1
374,9,1981,6,1,2,1,1,1,2,1,1
375,7,1982,6,4,N,7,N,N,N,N,N
376,3,1981,3,5,3,3,2,1,3,2,2
377,12,1984,2,2,2,2,1,D,1,N,2
378,2,1984,6,6,5,3,2,2,3,3,3
379,11,1980,N,N,N,N,N,N,N,N,N
380,2,1983,3,4,N,N,N,N,N,N,1
381,1,1980,N,N,N,N,N,N,N,1,N
382,1,1980,1,1,1,N,1,1,1,1,1
383,2,1984,R,N,N,N,N,N,N,N,N
384,11,1983,3,2,2,N,N,N,N,N,N
385,12,1981,2,1,1,3,2,2,2,6,R
386,6,1980,3,2,2,2,1,2,1,2,2
387,1,1983,2,3,2,2,2,1,2,2,2
388,1,1982,2,2,2,2,1,1,1,N,1
389,6,1981,1,1,N,N,N,N,N,N,N
390,3,1983,6,6,4,6,4,6,6,6,6
391,3,1980,N,1,N,1,2,2,4,R,1
392,1,1980,1,2,1,1,4,4,4,5,6
393,9,1983,2,3,2,2,2,2,1,1,1
394,10,1984,3,3,2,1,2,1,1,2,1
395,8,1984,7,6,6,4,6,2,2,2,2
396,9,1983,2,3,4,2,2,1,2,1,1
397,4,1982,1,1,1,3,2,R,1,1,N
398,8,1980,2,2,2,2,2,1,2,2,2
399,9,1980,N,N,N,N,N,N,N,N,N
400,7,1982,1,1,N,N,N,N,N,N,N
401,6,1984,6,3,2,1,N,1,N,1,1
402,7,1984,6,7,6,3,2,2,3,2,1
403,2,1984,4,6,1,6,4,6,3,2,2
404,3,1980,6,6,6,6,6,6,6,6,6
405,9,1981,7,6,7,6,6,6,N,N,N
406,6,1983,7,7,7,6,6,6,6,6,N
407,10,1981,2,7,1,4,2,1,R,2,1
408,5,1980,5,7,5,6,6,6,7,7,7
409,12,1980,1,1,1,1,R,1,1,1,R
410,10,1980,3,2,3,5,5,6,6,6,1
411,2,1980,6,6,2,2,2,5,7,3,6
412,2,1982,6,6,6,6,5,3,2,2,3
413,7,1980,1,2,1,1,1,R,1,1,1
414,7,1980,N,5,N,1,1,5,D,2,2
415,12,1981,1,1,1,1,1,1,1,1,1
