id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
833,4,1983,3,6,6,6,6,5,6,4,4
835,9,1982,2,1,2,5,3,2,2,1,1
836,11,1980,1,1,3,1,1,1,2,1,2
838,10,1981,1,1,1,1,6,8,7,7,6
839,4,1980,6,6,6,6,6,7,7,6,6
840,2,1984,6,6,5,5,3,3,2,3,3
841,4,1982,6,5,7,7,6,7,6,6,6
844,5,1983,1,1,1,1,1,1,1,1,1
846,12,1980,1,1,1,1,1,1,1,1,1
847,9,1982,2,3,2,1,1,2,1,1,2
848,4,1984,2,2,2,2,2,2,2,5,2
850,4,1981,5,3,3,2,1,3,2,1,3
851,1,1983,1,2,2,2,2,1,2,2,2
852,7,1983,3,1,1,1,1,1,1,1,1
853,2,1984,2,2,2,3,2,2,2,2,2
855,7,1981,1,3,1,2,1,2,2,2,1
856,2,1980,1,1,1,1,1,2,2,1,1
857,12,1980,1,1,1,1,1,1,1,1,1
858,5,1983,1,1,1,1,1,2,1,1,1
859,6,1982,2,2,2,2,2,2,2,2,3
860,1,1982,3,4,3,3,3,2,2,2,1
861,8,1984,3,2,2,3,2,2,2,2,1
862,1,1981,6,4,4,5,5,5,2,2,5
864,3,1982,1,2,2,1,2,1,3,1,1
865,5,1984,6,3,2,1,2,1,1,1,1
866,6,1982,1,1,1,1,1,1,1,1,1
868,11,1983,6,2,3,4,3,4,4,2,2
870,6,1984,2,1,1,1,1,2,7,4,4
876,12,1984,6,1,2,1,1,1,1,1,1
878,1,1984,2,3,3,4,2,2,2,2,1
879,7,1981,6,6,6,6,6,6,6,3,3
881,1,1982,2,4,7,1,1,3,1,1,1
882,12,1983,1,2,2,4,5,3,4,3,5
883,9,1983,2,2,2,2,1,1,1,1,3
885,12,1983,3,2,2,2,1,1,1,1,2
893,9,1980,2,5,2,2,2,3,2,2,2
897,8,1984,6,7,7,4,3,3,5,5,5
900,5,1982,4,2,2,3,2,2,2,1,1
901,3,1984,6,6,6,3,3,3,2,2,2
909,11,1983,1,1,1,1,1,1,1,1,1
911,6,1983,1,2,2,1,2,1,1,1,1
913,11,1982,1,2,1,1,2,2,1,2,1
915,10,1980,1,1,2,1,1,1,1,2,2
916,3,1983,3,2,2,2,1,2,1,2,2
918,7,1981,3,3,3,5,3,3,2,2,2
919,1,1984,2,2,2,2,2,6,6,4,5
922,6,1982,3,2,2,1,2,1,1,1,1
923,9,1981,2,2,1,1,6,6,6,8,6
924,5,1982,5,5,5,4,5,3,3,3,3
927,10,1981,6,6,5,6,2,5,2,3,2
929,2,1983,5,7,7,7,7,7,7,6,6
930,11,1983,1,6,6,6,2,1,1,3,1
931,2,1984,1,1,1,2,2,1,1,1,1
932,11,1984,3,2,2,1,1,1,1,2,1
933,7,1981,1,2,1,1,1,2,2,4,4
934,8,1984,3,2,2,1,1,1,1,2,3
936,7,1984,6,6,1,3,4,7,1,1,1
939,10,1980,1,1,1,1,1,1,1,1,1
940,8,1982,1,1,1,1,1,1,1,1,1
943,10,1984,1,1,1,1,1,1,1,1,1
945,10,1980,2,1,2,2,1,1,1,1,1
948,5,1984,4,3,3,2,2,1,2,1,1
949,7,1980,2,3,5,5,2,4,3,2,2
950,11,1984,5,6,5,6,3,6,6,2,8
953,10,1984,6,6,6,6,5,5,5,6,5
955,3,1984,6,4,5,5,3,3,4,3,2
956,3,1983,6,5,4,2,3,3,2,2,2
957,10,1984,1,1,1,1,1,1,1,1,1
961,5,1984,1,1,1,1,1,2,1,2,1
962,1,1980,2,2,1,1,2,2,2,2,3
963,10,1984,6,5,2,1,1,1,1,1,1
